TaskName,taskIntruct,filepath,blockNum,trialnum,fmriRun,fmriBlock,word,Stim,StimType,time_presented,TR,resp,RT,response
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Roberto Maroni/selected/im_31.jpg,10,1,1,1,Roberto Maroni,Roberto\nMaroni,1,12.5452093759359,5.01808375037435,,1.95996663672486,4
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Paolo Bonolis/selected/im_16.jpg,10,2,1,1,Paolo Bonolis,Paolo\nBonolis,1,16.0604320116345,6.42417280465379,,1.57188930236589,4
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Donald Trump/selected/im_64.jpg,10,3,1,1,Donald Trump,Donald\nTrump,1,19.1757756961379,7.67031027845514,,1.5362556140135,4
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Gates/selected/im_09.jpg,10,4,1,1,Bill Gates,Bill\nGates,1,22.2412023610941,8.89648094443764,,1.21061679284867,3
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Johnny Depp/selected/im_50.jpg,10,5,1,1,Johnny Depp,Johnny\nDepp,1,24.9901462851285,9.9960585140514,,0.96359767312606,4
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Daniel Radcliffe/selected/im_16.jpg,10,6,1,1,Daniel Radcliffe,Daniel\nRadcliffe,1,27.5058236023797,11.0023294409519,,0.947613670388819,3
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Michelle Obama/selected/im_10.jpg,10,7,1,1,Michelle Obama,Michelle\nObama,1,30.0216318063231,12.0086527225292,,0.931800761367413,3
Cognome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Clinton/selected/im_16.jpg,10,8,1,1,Bill Clinton,Bill\nClinton,1,32.5372086060142,13.0148834424057,,0.918309594078892,3
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Barack Obama/selected/im_03.jpg,7,1,1,2,Barack Obama,Barack\nObama,1,47.5147405791522,19.0058962316609,,1.21179348988517,2
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Michelle Obama/selected/im_15.jpg,7,2,1,2,Michelle Obama,Michelle\nObama,1,50.2637238547413,20.1054895418965,,0.693107061893897,2
