TaskName,taskIntruct,filepath,blockNum,trialnum,fmriRun,fmriBlock,word,Stim,StimType,time_presented,TR,resp,RT,response
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Cameron Diaz/selected/im_14.jpg,9,1,1,1,Cameron Diaz,Cameron\nDiaz,1,12.5115596391479,5.00462385565916,,0.00325717015948612,3
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Rihanna/selected/im_10.jpg,9,2,1,1,Rihanna,Rihanna,1,15.0270295934097,6.01081183736387,,0.429034966567997,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Matteo Salvini/selected/im_49.jpg,9,3,1,1,Matteo Salvini,Matteo\nSalvini,1,17.5425842383738,7.01703369534953,,0.913354141011951,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Michelle Hunziker/selected/im_29.jpg,9,4,1,1,Michelle Hunziker,Michelle\nHunziker,1,20.0582231463086,8.02328925852344,,0.887988420468901,3
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Gates/selected/im_09.jpg,9,5,1,1,Bill Gates,Bill\nGates,1,22.5738791634758,9.02955166539032,,0.902277623819828,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Johnny Depp/selected/im_50.jpg,9,6,1,1,Johnny Depp,Johnny\nDepp,1,25.089521065529,10.0358084262116,,0.887096173992177,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Clinton/selected/im_16.jpg,9,7,1,1,Bill Clinton,Bill\nClinton,1,27.6052536465104,11.0421014586042,,0.810464776583103,4
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Silvio Berlusconi/selected/im_08.jpg,9,8,1,1,Silvio Berlusconi,Silvio\nBerlusconi,1,30.12086774606,12.048347098424,,0.735403151265928,3
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Piazza San Pietro.jpg,16,1,1,2,Piazza San Pietro,Piazza\nSan Pietro,2,45.0149953869222,18.0059981547689,,,
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Mart.jpg,16,2,1,2,Mart,Mart,2,47.5306039259704,19.0122415703881,,0.376202511721203,2
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/House of Parliament.jpg,16,3,1,2,House of Parliament,House\nof Parliament,2,50.0462394120586,20.0184957648235,,0.421065486014413,2
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/House of Parliament.jpg,16,4,1,2,House of Parliament,House\nof Parliament,2,52.5619873913492,21.0247949565397,,0.0806396628795483,1
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Duomo di Trento.jpg,16,5,1,2,Duomo di Trento,Duomo\ndi Trento,2,55.0775955026656,22.0310382010663,,0.185331484964991,2
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Ponte vecchio.jpg,16,6,1,2,Ponte vecchio,Ponte\nvecchio,2,57.5932964315689,23.0373185726276,,0.270363515584904,2
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Altare della Patria.jpg,16,7,1,2,Altare della Patria,Altare\ndella Patria,2,60.1089289235424,24.043571569417,,0.475348376057809,2
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Louvre.jpg,16,8,1,2,Louvre,Louvre,2,62.6246071827118,25.0498428730847,,0.159824613256205,2
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Laura Pausini/selected/im_03.jpg,6,1,1,3,Laura Pausini,Laura\nPausini,1,77.5186882009148,31.0074752803659,,1.05684927493348,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Matteo Renzi/selected/im_16.jpg,6,2,1,3,Matteo Renzi,Matteo\nRenzi,1,80.1176422279786,32.0470568911915,,0.567511962563003,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Roberto Maroni/selected/im_36.jpg,6,3,1,3,Roberto Maroni,Roberto\nMaroni,1,82.6332956787628,33.0533182715051,,0.452118743207393,2
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/George Clooney/selected/im_16.jpg,6,4,1,3,George Clooney,George\nClooney,1,85.1489170497334,34.0595668198934,,0.796450604149868,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Clinton/selected/im_12.jpg,6,5,1,3,Bill Clinton,Bill\nClinton,1,87.6647304718426,35.0658921887371,,0.512196530333313,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Donald Trump/selected/im_23.jpg,6,6,1,3,Donald Trump,Donald\nTrump,1,90.1803257512329,36.0721303004932,,0.596115605374507,3
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Angelino Alfano/selected/im_12.jpg,6,7,1,3,Angelino Alfano,Angelino\nAlfano,1,92.6959967389776,37.078398695591,,0.760676481950213,4
