TaskName,taskIntruct,filepath,blockNum,trialnum,fmriRun,fmriBlock,word,Stim,StimType,time_presented,TR,resp,RT,response
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Gates/selected/im_16.jpg,7,1,1,1,Bill Gates,Bill\nGates,1,12.5451151216103,5.0180460486441,,0.00376274798236409,2
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Brad Pitt/selected/im_13.jpg,7,2,1,1,Brad Pitt,Brad\nPitt,1,15.0605970523357,6.02423882093426,,0.76896932699583,2
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Michelle Obama/selected/im_15.jpg,7,3,1,1,Michelle Obama,Michelle\nObama,1,17.5762355325396,7.03049421301584,,0.854752452929461,2
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Giorgia Meloni/selected/im_67.jpg,7,4,1,1,Giorgia Meloni,Giorgia\nMeloni,1,20.0918945438225,8.036757817529,,0.841858935233176,4
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Clinton/selected/im_19.jpg,7,5,1,1,Bill Clinton,Bill\nClinton,1,22.6075920508792,9.0430368203517,,0.826588517395066,2
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Mike Tyson/selected/im_41.jpg,7,6,1,1,Mike Tyson,Mike\nTyson,1,25.1231308698034,10.0492523479214,,0.652091881712295,4
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Donald Trump/selected/im_23.jpg,7,7,1,1,Donald Trump,Donald\nTrump,1,27.6389524187962,11.0555809675185,,0.77860139722543,2
Quanti fatti ricordi?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Justin Bieber/selected/im_38.jpg,7,8,1,1,Justin Bieber,Justin\nBieber,1,30.1544946595668,12.0617978638267,,0.765352862952568,3
Quanto familiare?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Tom Cruise/selected/im_01.jpg,5,1,1,2,Tom Cruise,Tom\nCruise,1,45.0152327775249,18.00609311101,,0.00151202843244391,1
Quanto familiare?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Fiorello/selected/im_77.jpg,5,2,1,2,Fiorello,Fiorello,1,47.5309606534702,19.0123842613881,,0.768973176572217,2
Quanto familiare?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Mike Tyson/selected/im_01.jpg,5,3,1,2,Mike Tyson,Mike\nTyson,1,50.04658159671,20.018632638684,,0.620073236070311,4
Quanto familiare?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Sabrina Ferilli/selected/im_10.jpg,5,4,1,2,Sabrina Ferilli,Sabrina\nFerilli,1,52.5622316256458,21.0248926502583,,0.786563178621691,3
