TaskName,taskIntruct,filepath,blockNum,trialnum,fmriRun,fmriBlock,word,Stim,StimType,time_presented,TR,resp,RT,response
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Cameron Diaz/selected/im_14.jpg,9,1,1,1,Cameron Diaz,Cameron\nDiaz,1,12.5453197313818,5.01812789255273,,1.24364258522655,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Rihanna/selected/im_10.jpg,9,2,1,1,Rihanna,Rihanna,1,15.3441562941098,6.13766251764391,,0.591585611016853,1
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Matteo Salvini/selected/im_49.jpg,9,3,1,1,Matteo Salvini,Matteo\nSalvini,1,17.8596599512384,7.14386398049537,,0.575945506650896,1
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Michelle Hunziker/selected/im_29.jpg,9,4,1,1,Michelle Hunziker,Michelle\nHunziker,1,20.3753218700531,8.15012874802123,,0.560298986269117,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Gates/selected/im_09.jpg,9,5,1,1,Bill Gates,Bill\nGates,1,22.8910239958932,9.15640959835728,,0.545261131785082,3
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Johnny Depp/selected/im_50.jpg,9,6,1,1,Johnny Depp,Johnny\nDepp,1,25.4067522135247,10.1627008854099,,0.529562000085207,2
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Clinton/selected/im_16.jpg,9,7,1,1,Bill Clinton,Bill\nClinton,1,27.9223773471913,11.1689509388765,,0.513561315710831,3
Volto distintivo?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Silvio Berlusconi/selected/im_08.jpg,9,8,1,1,Silvio Berlusconi,Silvio\nBerlusconi,1,30.4380905941216,12.1752362376486,,0.498602164336262,1
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Piazza San Pietro.jpg,16,1,1,2,Piazza San Pietro,Piazza\nSan Pietro,2,45.0157410496595,18.0062964198638,,,
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Mart.jpg,16,2,1,2,Mart,Mart,2,47.5314872321305,19.0125948928522,,0.416220539800634,2
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/House of Parliament.jpg,16,3,1,2,House of Parliament,House\nof Parliament,2,50.047136318919,20.0188545275676,,,
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/House of Parliament.jpg,16,4,1,2,House of Parliament,House\nof Parliament,2,52.5627815560965,21.0251126224386,,0.435262842722295,1
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Duomo di Trento.jpg,16,5,1,2,Duomo di Trento,Duomo\ndi Trento,2,55.0784888147482,22.0313955258993,,,
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Ponte vecchio.jpg,16,6,1,2,Ponte vecchio,Ponte\nvecchio,2,57.5942739210404,23.0377095684162,,0.00148552119389933,21
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Altare della Patria.jpg,16,7,1,2,Altare della Patria,Altare\ndella Patria,2,60.1098588476834,24.0439435390734,,,
Stesso nome?,1 = nome diverso\n2 = Stesso nome,Monuments/Louvre.jpg,16,8,1,2,Louvre,Louvre,2,62.6256405321001,25.05025621284,,0.352981735744834,2
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Laura Pausini/selected/im_03.jpg,6,1,1,3,Laura Pausini,Laura\nPausini,1,77.5198220625334,31.0079288250134,,1.09002994140064,3
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Matteo Renzi/selected/im_16.jpg,6,2,1,3,Matteo Renzi,Matteo\nRenzi,1,80.1353496727825,32.054139869113,,0.744646905341142,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Roberto Maroni/selected/im_36.jpg,6,3,1,3,Roberto Maroni,Roberto\nMaroni,1,82.6510385388592,33.0604154155437,,0.429152230633917,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/George Clooney/selected/im_16.jpg,6,4,1,3,George Clooney,George\nClooney,1,85.16673382095,34.06669352838,,0.713718721930491,1
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Clinton/selected/im_12.jpg,6,5,1,3,Bill Clinton,Bill\nClinton,1,87.6824286753072,35.0729714701229,,0.758168014030161,2
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Donald Trump/selected/im_23.jpg,6,6,1,3,Donald Trump,Donald\nTrump,1,90.1981530433295,36.0792612173318,,0.743848325419094,3
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Angelino Alfano/selected/im_12.jpg,6,7,1,3,Angelino Alfano,Angelino\nAlfano,1,92.7138179562844,37.0855271825138,,0.728608580349828,2
Nome comune?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Tom Cruise/selected/im_16.jpg,6,8,1,3,Tom Cruise,Tom\nCruise,1,95.2294649044015,38.0917859617606,,0.432678472132466,1
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Filippo Inzaghi/selected/im_10.jpg,12,1,1,4,Filippo Inzaghi,Filippo\nInzaghi,1,110.007044356045,44.0028177424181,,,
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Hillary Clinton/selected/im_10.jpg,12,2,1,4,Hillary Clinton,Hillary\nClinton,1,112.522838017023,45.0091352068091,,0.110162966764619,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Hillary Clinton/selected/im_10.jpg,12,3,1,4,Hillary Clinton,Hillary\nClinton,1,115.038420804995,46.0153683219978,,0.314696522520535,1
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Arnold Schwarzenegger/selected/im_01.jpg,12,4,1,4,Arnold Schwarzenegger,Arnold\nSchwarzenegger,1,117.554264510885,47.0217058043541,,0.33962359382349,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Matt Damon/selected/im_19.jpg,12,5,1,4,Matt Damon,Matt\nDamon,1,120.069887505881,48.0279550023522,,0.00145386885742482,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Matt Damon/selected/im_19.jpg,12,6,1,4,Matt Damon,Matt\nDamon,1,122.585571239146,49.0342284956583,,0.00147568330612557,1
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Tom Cruise/selected/im_11.jpg,12,7,1,4,Tom Cruise,Tom\nCruise,1,125.101225458744,50.0404901834976,,0.162539886223385,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Rihanna/selected/im_13.jpg,12,8,1,4,Rihanna,Rihanna,1,127.616866846314,51.0467467385257,,0.287422045425046,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Laura Pausini/selected/im_17.jpg,11,1,1,5,Laura Pausini,Laura\nPausini,1,142.511081740022,57.0044326960087,,,
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Laura Pausini/selected/im_17.jpg,11,2,1,5,Laura Pausini,Laura\nPausini,1,145.02693228966,58.0107729158641,,0.0283074554081395,1
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Filippo Inzaghi/selected/im_01.jpg,11,3,1,5,Filippo Inzaghi,Filippo\nInzaghi,1,147.542451345224,59.0169805380894,,0.19242995850982,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Filippo Inzaghi/selected/im_01.jpg,11,4,1,5,Filippo Inzaghi,Filippo\nInzaghi,1,150.058121818725,60.0232487274901,,0.00145001924829558,1
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Filippo Inzaghi/selected/im_01.jpg,11,5,1,5,Filippo Inzaghi,Filippo\nInzaghi,1,152.573825655501,61.0295302622006,,0.0361978698838357,1
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Britney Spears/selected/im_30 (1).jpg,11,6,1,5,Britney Spears,Britney\nSpears,1,155.089515804781,62.0358063219122,,0.00147268916589383,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Matteo Salvini/selected/im_59.jpg,11,7,1,5,Matteo Salvini,Matteo\nSalvini,1,157.605274391548,63.0421097566192,,0.557248385302955,2
Stesso nome?,1 = Nome diverso\n2 = Stesso nome,People/Matteo Salvini/selected/im_59.jpg,11,8,1,5,Matteo Salvini,Matteo\nSalvini,1,160.12091406818,64.0483656272721,,0.241219898200143,1
Quanto attraente?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Jim Carrey/selected/im_37.jpg,2,1,1,6,Jim Carrey,Jim\nCarrey,1,175.015119979467,70.0060479917869,,0.00151246845416608,3
Quanto attraente?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Rihanna/selected/im_04.jpg,2,2,1,6,Rihanna,Rihanna,1,177.530772915865,71.0123091663459,,0.385147782199056,1
Quanto attraente?,1 = Moltissimo\n2 = Molto\n3 = Poco\n4 = Pochissimo,People/Bill Gates/selected/im_14 (1).jpg,2,3,1,6,Bill Gates,Bill\nGates,1,180.046459643268,72.0185838573074,,0.568872492407536,3
